Rank,Company Name,Number of Employees,"Change in 
Rank","Revenues
($millions)","Revenue 
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/29/19 ($m)"
149,McDonald's,210000,-18,21025.2,-0.079,5924.3,0.141,32811.2,145333.8
150,Broadcom,15000,-,20848,0.181,12259,6.245,50124,119034.7
151,Marriott International,176000,-24,20758,-0.093,1907,0.39,23696,42117.1
152,Western Digital,71600,6,20647,0.081,675,0.7,29235,13978.3
153,Visa,17000,8,20609,0.123,10301,0.538,69225,343774.2
154,Lennar,11626,76,20571.6,0.627,1695.8,1.092,28566.2,15513.8
155,WellCare Health Plans,12000,15,20414.1,0.2,439.8,0.177,11764.7,13569
156,Kohl's,81500,1,20229,0.059,801,-0.068,12469,11220.9
157,AECOM,87000,7,20155.5,0.107,136.5,-0.598,14681.1,4631.3
158,Synnex,231600,11,20053.8,0.176,300.6,-0.002,11480.4,4885.1
159,PNC Financial Services,51996,6,19993,0.109,5301,-0.007,382315,55640.1
160,Danaher,71000,2,19893,0.085,2650.9,0.064,47832.5,94485.9
161,Hartford Financial Services,18500,-5,19827,0.031,1807,-,62307,17872.9
162,Altria Group,8300,-8,19627,0.007,6963,-0.319,55638,107648.6
163,Bank of New York Mellon,51300,12,19214,0.156,4266,0.043,362873,48152.7
164,Fluor,53349,-11,19166.6,-0.018,224.8,0.175,8913.6,5137.6
165,Avnet,15400,-37,19036.9,-0.168,-156.4,-1.298,9596.8,4702.5
166,Icahn Enterprises,29034,-30,18979,-0.127,1507,-0.38,23396,13874.6
167,Occidental Petroleum,11000,53,18934,0.426,4131,2.151,43854,49509.5
168,Molina Healthcare,11000,-16,18890,-0.05,707,-,7154,8890.9
169,Genuine Parts,50000,8,18735.1,0.149,810.5,0.314,12683,16350.1
170,Freeport-McMoRan,26800,6,18628,0.135,2602,0.432,42216,18678.4
171,Kimberly-Clark,41000,-8,18486,0.012,1410,-0.381,14518,42635.2
172,Tenet Healthcare,102795,-25,18313,-0.112,111,-,22409,2968.6
173,Synchrony Financial,16500,-,18253,0.093,2790,0.442,106792,22644.6
174,CarMax,25110,-,17976.8,0.081,664.1,0.059,17486.3,11690
175,HollyFrontier,3622,31,17714.7,0.243,1098,0.363,10994.6,8413.6
176,Performance Food Group,15000,-5,17619.9,0.051,198.7,1.063,4000.9,4170.2
177,Sherwin-Williams,53368,13,17534.5,0.17,1108.7,-0.374,19134.3,39918.5
178,Emerson Electric,87500,-,17408,0.068,2203,0.451,20390,42083
179,NGL Energy Partners,2400,44,17282.7,0.327,-70.9,-1.517,6151.1,1740.2
180,XPO Logistics,100000,6,17279,0.123,422,0.24,12270,5868.1
181,EOG Resources,2800,89,17275.4,0.541,3419,0.324,33934.5,55209.9
182,Applied Materials,21000,19,17253,0.187,3313,-0.035,17773,37652.9
183,PG&E,24000,-15,16759,-0.022,-6851,-5.162,76995,9390.6
184,NextEra Energy,14300,-17,16727,-0.027,6638,0.234,103702,92439.3
185,C.H. Robinson Worldwide,15262,8,16631.2,0.118,664.5,0.316,4427.4,11948.8
186,Gap,135000,-5,16580,0.046,1003,0.183,8049,9911.7
187,Lincoln National,11034,18,16424,0.152,1641,-0.211,298147,11992
188,DaVita,77700,-9,16368.6,0.021,159.4,-0.76,19110.3,9033.9
189,Jones Lang LaSalle,90000,167,16318.4,1.057,484.5,0.906,10025.5,7033.9
190,WestRock,45100,4,16285.1,0.096,1906.1,1.691,25360.5,9793.5
191,CDW,9019,-2,16240.5,0.069,643,0.229,7167.7,14172.1
192,American Electric Power,17582,-7,16195.7,0.05,1923.8,0.006,68802.8,41312.8
193,Cognizant Technology Solutions,281600,2,16125,0.089,2101,0.397,15913,41665.9
194,D.R. Horton,8437,17,16068,0.14,1460.3,0.406,14114.6,15452.2
195,Becton Dickinson,76032,56,15983,0.322,311,-0.717,53904,67193.2
196,Nordstrom,74000,-13,15860,0.025,564,0.291,7886,6879
197,Netflix,7100,64,15794.3,0.351,1211.2,1.167,25974.4,155673.6
198,Aramark,227200,2,15789.6,0.081,567.9,0.519,13720.1,7278.1
199,Texas Instruments,29888,-7,15784,0.055,5580,0.515,17137,99559.2
200,General Mills,40000,-18,15740.4,0.008,2131,0.286,30624,30987.4
201,Supervalu,23000,-21,15679,-0.021,45,-0.931,4387,-
202,Colgate-Palmolive,34500,-18,15544,0.006,2400,0.186,12161,58931.4
203,Goodyear Tire & Rubber,64000,-16,15475,0.006,693,1.003,16872,4215.6
204,PayPal Holdings,21800,18,15451,0.18,2057,0.146,43332,121826.1
205,PPG Industries,47300,-14,15374,0.027,1341,-0.157,16015,26648.8
206,Omnicom Group,70400,-18,15290.2,0.001,1326.4,0.219,24617,16327.2
207,Celgene,8852,17,15281,0.175,4046,0.376,35480,66242.2
208,Jacobs Engineering Group,77600,89,14984.6,0.495,163.4,-0.444,12645.8,10490.3
209,Ross Stores,88100,-,14983.5,0.06,1587.5,0.165,6073.7,34501.8
210,Marsh & McLennan,66000,2,14950,0.066,1650,0.106,21578,47660.1
210,Mastercard,14800,26,14950,0.196,5859,0.497,24860,241550.3
212,Land O'Lakes,10000,4,14936.2,0.087,254.5,-0.19,9124.4,-
213,Waste Management,43700,-11,14914,0.03,1925,-0.012,22650,44128.7
214,Illinois Tool Works,48000,-10,14768,0.032,2563,0.519,14870,46922.6
215,Ecolab,49000,-,14668.2,0.06,1429.1,-0.053,20074.5,50908.2
216,Booking Holdings,24500,13,14527,0.146,3998,0.708,22687,78543.2
217,CBS,14750,-20,14514,-0.013,1960,4.49,21859,17727.3
218,Parker-Hannifin,57170,38,14302.4,0.189,1060.8,0.079,15320.1,22201.7
219,Principal Financial,16475,-9,14237.2,0.01,1546.5,-0.331,243036.1,13968.6
220,DTE Energy,10600,12,14212,0.127,1120,-0.012,36288,22854.2
221,BlackRock,14900,16,14198,0.137,4305,-0.134,159573,67538.1
222,United States Steel,29000,24,14178,0.157,1115,1.881,10982,3378.5
223,Community Health Systems,78500,-63,14155,-0.234,-788,-,15859,433.5
224,Kinder Morgan,11012,-6,14144,0.032,1609,7.792,78866,45294.8
225,Qurate Retail,27226,63,14070,0.352,916,-0.625,17841,6961.7
226,Loews,17900,-9,14066,0.024,636,-0.454,78316,14920.6
227,Arconic,43000,-2,14014,0.081,642,-,18693,8658.4
228,Stanley Black & Decker,60767,-,13982.4,0.097,605.2,-0.506,19408,20610.3
229,Textron,35000,-21,13972,-0.016,1222,2.98,14264,11846.7
230,Las Vegas Sands,51500,-3,13729,0.066,2413,-0.14,22547,47247.2
231,Estee Lauder,46000,27,13683,0.157,1108,-0.113,12567,59790.5
232,DISH Network,16000,-29,13621.3,-0.054,1575.1,-0.249,30587,14827.5
233,Stryker,36000,7,13601,0.093,3553,2.483,27229,73695.7
234,Kellogg,34000,-8,13547,0.048,1336,0.053,17780,19722.6
235,Biogen,7800,10,13452.9,0.096,4430.7,0.745,25288.9,46498
236,Alcoa,14000,26,13403,0.15,227,0.046,15938,5224.1
237,Anadarko Petroleum,4700,20,13382,0.124,615,-,40376,22828.2
238,Dominion Energy,16100,-5,13366,0.062,2447,-0.184,77914,61281.9
239,ADP,57000,4,13325.8,0.076,1620.8,-0.065,37088.7,69587.5
240,salesforce.com,35000,45,13282,0.267,1110,7.707,30737,122103.3
241,L Brands,57200,-10,13236.9,0.048,643.9,-0.345,8090.2,7589.9
242,Henry Schein,22600,-4,13202,0.059,535.9,0.319,8500.5,9100.9
243,Newell Brands,37000,-47,13033.1,-0.116,-6917.9,-3.517,17716.4,6490.1
244,Guardian Life Ins. Co. of America,9556,-5,13014.9,0.045,464.9,0.021,74053,-
245,BJ's Wholesale Club,26383,-,13007.3,0.02,127.3,1.53,3239.3,3776.6
246,BB&T Corp.,35852,4,12996,0.069,3237,0.352,225697,35541
247,State Street Corp.,40142,12,12973,0.102,2599,0.194,244626,24919.6
248,Viacom,10880,-27,12943,-0.024,1719,-0.083,23783,11530.7
249,Ameriprise Financial,14062,3,12924,0.07,2098,0.418,137216,17345.1
250,Core-Mark Holding,8087,-3,12903.9,0.056,45.5,0.358,1666.1,1703.2
251,Reinsurance Group of America,2767,-17,12875.7,0.029,715.8,-0.607,64535.2,8922
252,VF,69000,-10,12862.3,0.037,658.6,0.071,10311.3,34382.1
253,Discover Financial Services,16600,10,12848,0.113,2742,0.306,109553,23215.1
254,Global Partners,2500,77,12672.6,0.421,103.9,0.769,2424.3,668.4
255,Edison International,12574,-11,12657,0.027,-423,-1.749,56715,20174.2
256,Oneok,2684,-7,12593.2,0.034,1151.7,1.97,18231.7,28746.9
257,Murphy USA,6800,22,12524,0.154,213.6,-0.129,2360.8,2755.6
258,Bed Bath & Beyond,65000,-10,12349.3,0.011,424.9,-0.38,7040.8,2335.7
259,Consolidated Edison,15307,-4,12337,0.025,1382,-0.094,53920,27230.6
260,CSX,22475,5,12250,0.074,3309,-0.395,36729,60805.2
261,J.C. Penney,95000,-26,12019,-0.039,-255,-,7721,471.4
262,LKQ,51000,38,11876.7,0.206,480.1,-0.1,11393.4,8926.4
263,FirstEnergy,12494,-44,11864,-0.129,1348,-,40063,22059.6
264,Steel Dynamics,8200,48,11821.8,0.239,1258.4,0.548,7703.6,7862.8
265,Lithia Motors,13643,29,11821.4,0.172,265.7,0.084,5384,2147
266,MGM Resorts International,74500,14,11763.1,0.092,466.8,-0.762,30210.7,13777.3
267,Tenneco,81000,53,11763,0.268,55,-0.734,13232,1793.2
268,Nvidia,13277,38,11716,0.206,4141,0.359,13292,108813.4
269,Sempra Energy,16823,2,11687,0.043,1049,3.098,60638,34508.6
270,Farmers Insurance Exchange,12740,-17,11650.4,-0.035,-70.5,-,17016.3,-
271,Ball,17500,6,11635,0.059,454,0.214,16554,19335
272,Group 1 Automotive,14570,1,11601.4,0.043,157.8,-0.261,5001.1,1186.6
273,Unum Group,9600,-6,11598.5,0.028,523.4,-0.474,61875.6,7260.8
274,Xcel Energy,11068,-8,11537,0.012,1261,0.098,45987,28903.8
275,Reliance Steel & Aluminum,15600,30,11534.5,0.187,633.7,0.033,8044.9,6054.5
276,Huntsman,10000,6,11527,0.088,337,-0.47,7953,5251.9
277,Norfolk Southern,26662,7,11458,0.086,2666,-0.507,36239,49860.3
278,Laboratory Corp. of America,61000,8,11333.4,0.085,883.7,-0.303,16185.3,15095.8
279,Corning,51500,14,11290,0.116,1066,-,27505,25990.7
280,Expedia Group,24500,15,11223,0.116,406,0.074,18033,17515.6
281,AutoZone,72450,-3,11221.1,0.031,1337.5,0.044,9347,25487.9
282,W.W. Grainger,23850,5,11221,0.076,782,0.335,5873,16732.7
283,Quanta Services,39200,33,11171.4,0.18,293.3,-0.069,7075.8,5336.2
284,Crown Holdings,33429,54,11151,0.282,439,0.359,15262,7384.9
285,Office Depot,44000,-4,11130,0.035,104,-0.425,6166,1971.9
286,Baxter International,50000,-3,11127,0.054,1624,1.265,15641,41558.9
287,Lam Research,10900,67,11077,0.382,2380.7,0.402,12479.5,27315.8
288,Entergy,13688,-14,11009.5,-0.006,848.7,1.062,48275.1,18214.6
289,Charles Schwab,19500,41,10989,0.226,3507,0.49,296482,57051.3
290,L3 Technologies,31000,-14,10841,-0.015,1005,0.484,13518,16368.2
291,NRG Energy,4862,-22,10797,-0.042,268,-,10628,11850.9
292,Live Nation Entertainment,16000,-2,10787.8,0.044,60.2,-,8496.9,13400.5
293,Universal Health Services,75650,-25,10772.3,-0.045,779.7,0.036,11265.5,12144.3
294,Molson Coors Brewing,17750,-19,10769.6,-0.021,1116.5,-0.287,30109.8,12958
295,eBay,14000,14,10746,0.123,2530,-,22819,33978.7
296,AES,9000,-82,10736,-0.225,1203,-,32521,11975.4
297,Devon Energy,2880,-84,10734,-0.23,3064,2.412,19566,13832.7
298,Pacific Life,3776,15,10699,0.125,913,-0.331,157699,-
299,CenterPoint Energy,7977,9,10589,0.101,368,-0.795,27009,15394.2
300,Discovery,9000,109,10553,0.535,594,-,32550,13632.8
301,BorgWarner,30000,-,10529.6,0.075,930.7,1.116,10095.3,7974.3
302,Targa Resources,2460,32,10484,0.189,1.6,-0.97,16938.2,9645.6
303,Ally Financial,8200,-4,10466,0.061,1263,0.36,178869,11025.3
304,SunTrust Banks,22899,-1,10431,0.071,2775,0.221,215543,26262.9
305,IQVIA Holdings,58000,-1,10412,0.069,259,-0.802,22549,28280.9
306,American Family Insurance Group,11975,5,10336.2,0.083,295.3,0.897,27502.5,-
307,Delek US Holdings,3717,77,10265.6,0.397,340.1,0.178,5760.6,2821.7
308,Navistar International,13100,34,10250,0.196,340,10.333,7230,3199.8
309,Chesapeake Energy,2350,5,10231,0.077,873,-0.08,10947,5058.3
310,United Natural Foods,10000,9,10226.7,0.103,165.7,0.273,2964.5,671.8
311,Leidos Holdings,32000,-19,10194,0.002,581,0.587,8770,9205.1
312,PulteGroup,5086,29,10188.3,0.188,1022,1.285,10173,7758.4
313,Eastman Chemical,14595,-3,10151,0.063,1080,-0.22,15995,10531.1
314,Republic Services,36000,-18,10040.9,0,1036.9,-0.189,21617,25851.5
315,Mohawk Industries,42100,-,9983.6,0.052,861.7,-0.113,13099.1,9121.9
316,Sonic Automotive,9700,-18,9951.6,0.009,51.7,-0.445,3796.8,636.7
317,Owens & Minor,17900,1,9838.7,0.056,-437,-7.003,3773.8,258.4
318,Xerox,32400,-27,9830,-0.042,361,0.851,14874,7307.6
319,Boston Scientific,32000,9,9823,0.086,1671,15.067,20999,53367.4
320,DCP Midstream,2650,24,9822,0.161,298,0.301,14266,4736.6
321,Autoliv,62091,-32,9801.1,-0.056,190.4,-0.554,6721.6,6413.4
322,Interpublic Group,54000,37,9714.4,0.232,618.9,0.069,15620.3,8087
323,Public Service Enterprise Group,13145,4,9696,0.067,1438,-0.086,45326,30002
324,PVH,29350,8,9656.8,0.083,746.4,0.388,11863.7,9164.1
325,Mosaic,13600,57,9587.3,0.294,470,-,20119.2,10527.2
326,Advance Auto Parts,55500,-9,9580.6,0.022,423.8,-0.109,9040.6,12221.9
327,Altice USA,11993,-,9566.6,0.026,18.8,-0.988,33613.8,14708
328,Hormel Foods,20100,-5,9545.7,0.041,1012.1,0.195,8142.3,23976.8
329,O'Reilly Automotive,64325,-,9536.4,0.062,1324.5,0.168,7980.8,30438.4
330,Calpine,2282,6,9512,0.087,10,-,16062,-
331,Hertz Global Holdings,38000,4,9504,0.08,-225,-1.688,21382,1457.8
332,First Data,19000,-78,9498,-0.212,1005,-0.314,38327,24767.2
333,Pioneer Natural Resources,3177,164,9415,0.726,978,0.174,17903,25639.3
334,Coty,20000,37,9398,0.228,-168.8,-,22630.2,8639.5
335,AGCO,21200,12,9352,0.126,285.5,0.532,7626.4,5335.4
336,Mutual of Omaha Insurance,6314,1,9347.2,0.07,277.3,-0.679,43913.4,-
337,Vistra Energy,5275,162,9144,0.684,-54,-,26024,12647.8
338,Avis Budget Group,25600,-5,9124,0.031,165,-0.543,19149,2646.2
339,Adobe,21357,50,9030,0.237,2590.8,0.529,18768.7,130034
340,Peter Kiewit Sons',20000,-1,9025,0.04,468,0.261,4760,-
341,News Corp.,28000,9,9024,0.109,-1514,-,16346,7286.8
342,Brighthouse Financial,1260,-,8965,-,865,-,206294,4230.2
343,Voya Financial,6000,-36,8934,-0.075,875,-,154682,7291
344,Air Products & Chemicals,16150,1,8930.2,0.058,1497.8,-0.501,19178.3,41940.8
345,Hilton Worldwide Holdings,169000,-21,8906,-0.026,764,-0.393,13995,24292.8
346,GameStop,33000,-24,8850.7,-0.041,-673,-20.395,4044.3,1036
347,Veritiv,8700,-1,8696.2,0.04,-15.7,-,2529.7,418.5
348,Williams,5322,5,8686,0.082,-155,-1.071,45302,34801.1
349,Campbell Soup,23000,9,8685,0.101,261,-0.706,14529,11481.6
350,Rockwell Collins,31200,65,8665,0.27,1032,0.464,19026,-
351,Thrivent Financial for Lutherans,3708,-8,8635.2,0.013,1233.9,1.21,94482.9,-
352,Westlake Chemical,8870,-,8635,0.074,996,-0.236,11602,8718.3
353,Univar,8500,-4,8632.5,0.046,172.3,0.438,5272.4,3760.5
354,J.B. Hunt Transport Services,27621,41,8614.9,0.198,489.6,-0.287,5091.6,11014.2
355,Frontier Communications,21173,-30,8611,-0.057,-643,-,23659,209.6
356,Jones Financial (Edward Jones),47000,20,8594,0.131,990,0.135,15815,-
357,National Oilwell Varco,34642,31,8453,0.157,-31,-,19796,10214.7
358,Eversource Energy,7998,6,8448.2,0.09,1033,0.046,38241.3,22512.6
359,Dick's Sporting Goods,27950,-19,8436.6,-0.018,319.9,-0.011,4187.1,3544.9
360,Genworth Financial,3500,-12,8430,0.016,119,-0.854,100923,1918.5
361,Fidelity National Information Services,47000,-35,8423,-0.077,846,-0.359,23770,36546.5
362,Yum China Holdings,450000,35,8415,0.178,708,0.757,4610,17019.2
363,Ryder System,39600,24,8409.2,0.147,273.3,-0.654,13051.1,3302.5
364,Anixter International,9300,-7,8400.2,0.06,156.3,0.434,4653.1,1878.7
365,Caesars Entertainment,66000,-,8391,0.729,303,-,25775,5823.5
366,Masco,26000,7,8359,0.094,734,0.377,5393,11568.7
367,Thor Industries,17500,25,8328.9,0.149,430.2,0.149,2778.7,3434.3
368,Alaska Air Group,23376,-13,8264,0.042,437,-0.577,10912,6937.1
369,Amphenol,73600,34,8202,0.17,1205,0.852,10044.9,28151.4
370,WESCO International,9100,-,8176.6,0.065,227.3,0.391,4605,2395.8
371,Huntington Ingalls Industries,40000,10,8176,0.099,836,0.745,6383,8631.3
372,Jefferies Financial Group,4700,-131,8151.8,-0.343,1026.8,4.979,47131.1,5686.9
373,Dana,30900,20,8143,0.13,427,2.847,5918,2545
374,Expeditors Intl. of Washington,17400,34,8138.4,0.176,618.2,0.263,3314.6,13043.9
375,EMCOR Group,33000,-7,8130.6,0.058,283.5,0.248,4088.8,4092.3
376,Darden Restaurants,180656,20,8080.1,0.127,596,0.244,5469.6,15002.6
377,SpartanNash,11400,-26,8064.6,-0.008,33.6,-,1971.9,570.6
378,Assurant,14250,62,8057.6,0.256,251,-0.517,41089.3,5854.3
379,United Rentals,18500,45,8047,0.212,1096,-0.186,18133,9002.2
380,Liberty Media,4641,-3,8040,0.059,531,-0.608,40828,12349.5
381,Erie Insurance Group,5547,-3,8030.7,0.066,686.3,-0.2,21178.2,-
382,Auto-Owners Insurance,5517,-7,7999.3,0.052,754.5,0.168,24476.4,-
383,Cheniere Energy,1372,106,7987,0.426,471,-,31987,17596.9
384,Fifth Third Bancorp,17437,-18,7973,0.034,2193,0,146069,19447.4
385,Foot Locker,32401,-22,7939,0.02,541,0.905,3820,6841.1
386,Conagra Brands,12400,-65,7938.3,-0.14,808.4,0.265,10389.5,13471.7
387,Zimmer Biomet Holdings,19800,-26,7932.9,0.014,-379.2,-1.209,24126.8,26124.8
388,Tractor Supply,22000,3,7911,0.09,532.4,0.26,3085.3,11839.7
389,Berry Global Group,24000,10,7869,0.109,496,0.459,9131,7024.9
390,Alliance Data Systems,20000,-25,7791.2,0.009,963.1,0.221,30387.7,9273.5
391,Hershey,15675,-12,7791.1,0.037,1177.6,0.504,7703,23944.3
392,PPL,12444,-12,7785,0.045,1827,0.62,43396,22882.5
393,Dean Foods,15000,-31,7755.3,-0.005,-326.9,-6.308,2118.5,277.9
394,Builders FirstSource,15000,6,7724.8,0.098,205.2,4.291,2932.3,1538.9
395,Oshkosh,15000,19,7705.5,0.128,471.9,0.652,5294.2,5262.6
396,EnLink Midstream,1449,-,7699,0.341,-13.2,-1.062,10694.1,6219.2
397,W.R. Berkley,7448,-28,7691.7,0.001,640.7,0.167,24896,10337
398,WEC Energy Group,7878,-26,7679.5,0.004,1059.3,-0.12,33475.8,24945.8
399,JetBlue Airways,18268,3,7658,0.092,188,-0.836,10426,5014.9
400,UGI,13000,57,7651.2,0.25,718.7,0.646,11980.9,9634.4
401,A-Mark Precious Metals,184,3,7606.2,0.088,-3.4,-1.479,743,83.7
402,Fidelity National Financial,23436,-100,7594,-0.223,628,-0.185,9301,10063.4
403,Constellation Brands,9600,-17,7585,0.035,2318.9,0.511,20538.7,33209.6
404,Quest Diagnostics,46000,-37,7531,-0.023,736,-0.047,11003,12072.8
405,Activision Blizzard,9900,-4,7500,0.069,1813,5.641,17835,34777.4
406,Weyerhaeuser,9300,-12,7476,0.039,748,0.285,17249,19663.4
